"filename", "language", "C", "Ini", "Assembler file", "Properties", "Makefile", "C++", "comment", "blank", "total"
"/home/ysy/code/Os_wrtie/src/kernel/time.c", "C", 150, 0, 0, 0, 0, 0, 11, 29, 190
"/home/ysy/code/Os_wrtie/src/lib/bitmap.c", "C", 55, 0, 0, 0, 0, 0, 8, 19, 82
"/home/ysy/code/Os_wrtie/src/lib/fifo.c", "C", 38, 0, 0, 0, 0, 0, 0, 7, 45
"/home/ysy/code/Os_wrtie/src/lib/list.c", "C", 97, 0, 0, 0, 0, 0, 13, 23, 133
"/home/ysy/code/Os_wrtie/src/lib/printf.c", "C", 14, 0, 0, 0, 0, 0, 0, 8, 22
"/home/ysy/code/Os_wrtie/src/lib/stdlib.c", "C", 45, 0, 0, 0, 0, 0, 6, 10, 61
"/home/ysy/code/Os_wrtie/src/lib/string.c", "C", 176, 0, 0, 0, 0, 0, 2, 16, 194
"/home/ysy/code/Os_wrtie/src/lib/syscall.c", "C", 49, 0, 0, 0, 0, 0, 2, 9, 60
"/home/ysy/code/Os_wrtie/src/lib/vsprintf.c", "C", 285, 0, 0, 0, 0, 0, 81, 50, 416
"/home/ysy/code/Os_wrtie/src/utils/grub.cfg", "Properties", 0, 0, 0, 5, 0, 0, 0, 1, 6
"/home/ysy/code/Os_wrtie/test/call.asm", "Assembler file", 0, 0, 16, 0, 0, 0, 0, 9, 25
"/home/ysy/code/Os_wrtie/test/makefile", "Makefile", 0, 0, 0, 0, 14, 0, 8, 4, 26
"/home/ysy/code/Os_wrtie/test/param.c", "C", 10, 0, 0, 0, 0, 0, 0, 2, 12
"/home/ysy/code/Os_wrtie/test/param.s", "Assembler file", 0, 0, 30, 0, 0, 0, 0, 1, 31
"/home/ysy/code/Os_wrtie/test/types.c", "C", 27, 0, 0, 0, 0, 0, 0, 5, 32
"Total", "-", 2765, 26, 589, 10, 132, 301, 422, 871, 5116
