"filename", "language", "C", "Makefile", "C++", "comment", "blank", "total"
"/home/ysy/code/Os_wrtie/src/Makefile", "Makefile", 0, 1, 0, 0, 0, 1
"/home/ysy/code/Os_wrtie/src/include/onix/syscall.h", "C++", 0, 0, 2, 0, 0, 2
"/home/ysy/code/Os_wrtie/src/include/onix/task.h", "C++", 0, 0, 2, 1, 2, 5
"/home/ysy/code/Os_wrtie/src/kernel/clock.c", "C", 2, 0, 0, 0, 2, 4
"/home/ysy/code/Os_wrtie/src/kernel/debug.c", "C", -1, 0, 0, 0, 0, -1
"/home/ysy/code/Os_wrtie/src/kernel/gate.c", "C", 0, 0, 0, 0, -1, -1
"/home/ysy/code/Os_wrtie/src/kernel/task.c", "C", 21, 0, 0, 7, 12, 40
"/home/ysy/code/Os_wrtie/src/kernel/thread.c", "C", 31, 0, 0, 4, 5, 40
"/home/ysy/code/Os_wrtie/src/lib/syscall.c", "C", 12, 0, 0, 1, 2, 15
"Total", "-", 65, 1, 4, 13, 22, 105
