"filename", "language", "Markdown", "Makefile", "Properties", "C++", "C", "Ini", "Log", "comment", "blank", "total"
"/home/ysy/Code/My_OS/src/kernel/ide.c", "C", 0, 0, 0, 0, 384, 0, 0, 43, 64, 491
"/home/ysy/Code/My_OS/src/kernel/interrupt.c", "C", 0, 0, 0, 0, 255, 0, 0, 38, 51, 344
"/home/ysy/Code/My_OS/src/kernel/keyboard.c", "C", 0, 0, 0, 0, 372, 0, 0, 13, 48, 433
"/home/ysy/Code/My_OS/src/kernel/main.c", "C", 0, 0, 0, 0, 37, 0, 0, 1, 5, 43
"/home/ysy/Code/My_OS/src/kernel/memory.c", "C", 0, 0, 0, 0, 432, 0, 0, 50, 91, 573
"/home/ysy/Code/My_OS/src/kernel/mutex.c", "C", 0, 0, 0, 0, 62, 0, 0, 8, 18, 88
"/home/ysy/Code/My_OS/src/kernel/nvme.c", "C", 0, 0, 0, 0, 472, 0, 0, 60, 99, 631
"/home/ysy/Code/My_OS/src/kernel/pci.c", "C", 0, 0, 0, 0, 84, 0, 0, 13, 20, 117
"/home/ysy/Code/My_OS/src/kernel/printk.c", "C", 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"/home/ysy/Code/My_OS/src/kernel/rtc.c", "C", 0, 0, 0, 0, 91, 0, 0, 10, 23, 124
"/home/ysy/Code/My_OS/src/kernel/task.c", "C", 0, 0, 0, 0, 331, 0, 0, 26, 84, 441
"/home/ysy/Code/My_OS/src/kernel/thread.c", "C", 0, 0, 0, 0, 41, 0, 0, 3, 6, 50
"/home/ysy/Code/My_OS/src/kernel/time.c", "C", 0, 0, 0, 0, 139, 0, 0, 10, 27, 176
"/home/ysy/Code/My_OS/src/lib/bitmap.c", "C", 0, 0, 0, 0, 55, 0, 0, 8, 19, 82
"/home/ysy/Code/My_OS/src/lib/fifo.c", "C", 0, 0, 0, 0, 38, 0, 0, 0, 7, 45
"/home/ysy/Code/My_OS/src/lib/list.c", "C", 0, 0, 0, 0, 97, 0, 0, 13, 23, 133
"/home/ysy/Code/My_OS/src/lib/printf.c", "C", 0, 0, 0, 0, 14, 0, 0, 0, 8, 22
"/home/ysy/Code/My_OS/src/lib/stdlib.c", "C", 0, 0, 0, 0, 45, 0, 0, 6, 10, 61
"/home/ysy/Code/My_OS/src/lib/string.c", "C", 0, 0, 0, 0, 176, 0, 0, 2, 16, 194
"/home/ysy/Code/My_OS/src/lib/syscall.c", "C", 0, 0, 0, 0, 70, 0, 0, 2, 16, 88
"/home/ysy/Code/My_OS/src/lib/vsprintf.c", "C", 0, 0, 0, 0, 285, 0, 0, 81, 50, 416
"/home/ysy/Code/My_OS/src/utils/cdrok.mk", "Makefile", 0, 24, 0, 0, 0, 0, 0, 5, 6, 35
"/home/ysy/Code/My_OS/src/utils/cmd.mk", "Makefile", 0, 23, 0, 0, 0, 0, 0, 13, 9, 45
"/home/ysy/Code/My_OS/src/utils/grub.cfg", "Properties", 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"/home/ysy/Code/My_OS/src/utils/image.mk", "Makefile", 0, 71, 0, 0, 0, 0, 0, 3, 10, 84
"/home/ysy/Code/My_OS/test/makefile", "Makefile", 0, 14, 0, 0, 0, 0, 0, 8, 4, 26
"/home/ysy/Code/My_OS/test/param.c", "C", 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"/home/ysy/Code/My_OS/test/types.c", "C", 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"Total", "-", 86, 225, 10, 608, 4870, 26, 6, 697, 1242, 7770
