"filename", "language", "C", "Makefile", "C++", "comment", "blank", "total"
"/home/ysy/code/Os_wrtie/src/Makefile", "Makefile", 0, 1, 0, 0, 0, 1
"/home/ysy/code/Os_wrtie/src/include/onix/ide.h", "C++", 0, 0, 24, 0, 7, 31
"/home/ysy/code/Os_wrtie/src/include/onix/syscall.h", "C++", 0, 0, 8, 0, 0, 8
"/home/ysy/code/Os_wrtie/src/include/onix/task.h", "C++", 0, 0, 5, 0, 0, 5
"/home/ysy/code/Os_wrtie/src/kernel/clock.c", "C", 4, 0, 0, 0, 1, 5
"/home/ysy/code/Os_wrtie/src/kernel/gate.c", "C", 14, 0, 0, -5, 1, 10
"/home/ysy/code/Os_wrtie/src/kernel/ide.c", "C", 172, 0, 0, 21, 36, 229
"/home/ysy/code/Os_wrtie/src/kernel/interrupt.c", "C", 0, 0, 0, 1, 0, 1
"/home/ysy/code/Os_wrtie/src/kernel/main.c", "C", 3, 0, 0, 0, 0, 3
"/home/ysy/code/Os_wrtie/src/kernel/memory.c", "C", 64, 0, 0, -6, 10, 68
"/home/ysy/code/Os_wrtie/src/kernel/task.c", "C", 87, 0, 0, 0, 14, 101
"/home/ysy/code/Os_wrtie/src/kernel/thread.c", "C", 2, 0, 0, 13, 0, 15
"/home/ysy/code/Os_wrtie/src/lib/syscall.c", "C", 12, 0, 0, 0, 4, 16
"Total", "-", 358, 1, 37, 24, 73, 493
