"filename", "language", "Markdown", "C", "Makefile", "Assembler file", "Log", "Ini", "Properties", "DeviceTree", "C++", "comment", "blank", "total"
"/home/ysy/code/Os_wrtie/src/kernel/assert.c", "C", 0, 31, 0, 0, 0, 0, 0, 0, 0, 3, 8, 42
"/home/ysy/code/Os_wrtie/src/kernel/clock.c", "C", 0, 112, 0, 0, 0, 0, 0, 0, 0, 7, 29, 148
"/home/ysy/code/Os_wrtie/src/kernel/console.c", "C", 0, 261, 0, 0, 0, 0, 0, 0, 0, 33, 38, 332
"/home/ysy/code/Os_wrtie/src/kernel/debug.c", "C", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/home/ysy/code/Os_wrtie/src/kernel/device.c", "C", 0, 120, 0, 0, 0, 0, 0, 0, 0, 11, 15, 146
"/home/ysy/code/Os_wrtie/src/kernel/devicetree.c", "C", 0, 137, 0, 0, 0, 0, 0, 0, 0, 7, 22, 166
"/home/ysy/code/Os_wrtie/src/kernel/gate.c", "C", 0, 56, 0, 0, 0, 0, 0, 0, 0, 10, 14, 80
"/home/ysy/code/Os_wrtie/src/kernel/global.c", "C", 0, 68, 0, 0, 0, 0, 0, 0, 0, 3, 13, 84
"/home/ysy/code/Os_wrtie/src/kernel/handler.asm", "Assembler file", 0, 0, 0, 166, 0, 0, 0, 0, 0, 0, 33, 199
"/home/ysy/code/Os_wrtie/src/kernel/ide.c", "C", 0, 384, 0, 0, 0, 0, 0, 0, 0, 43, 64, 491
"/home/ysy/code/Os_wrtie/src/kernel/interrupt.c", "C", 0, 255, 0, 0, 0, 0, 0, 0, 0, 37, 51, 343
"/home/ysy/code/Os_wrtie/src/kernel/io.asm", "Assembler file", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 28, 101
"/home/ysy/code/Os_wrtie/src/kernel/keyboard.c", "C", 0, 372, 0, 0, 0, 0, 0, 0, 0, 13, 48, 433
"/home/ysy/code/Os_wrtie/src/kernel/main.c", "C", 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 4, 40
"/home/ysy/code/Os_wrtie/src/kernel/memory.c", "C", 0, 426, 0, 0, 0, 0, 0, 0, 0, 50, 91, 567
"/home/ysy/code/Os_wrtie/src/kernel/mutex.c", "C", 0, 62, 0, 0, 0, 0, 0, 0, 0, 8, 18, 88
"/home/ysy/code/Os_wrtie/src/kernel/nvme.c", "C", 0, 401, 0, 0, 0, 0, 0, 0, 0, 49, 84, 534
"/home/ysy/code/Os_wrtie/src/kernel/pci.c", "C", 0, 84, 0, 0, 0, 0, 0, 0, 0, 13, 20, 117
"/home/ysy/code/Os_wrtie/src/kernel/printk.c", "C", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/home/ysy/code/Os_wrtie/src/kernel/rtc.c", "C", 0, 91, 0, 0, 0, 0, 0, 0, 0, 10, 23, 124
"/home/ysy/code/Os_wrtie/src/kernel/schedule.asm", "Assembler file", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 9, 29
"/home/ysy/code/Os_wrtie/src/kernel/start.asm", "Assembler file", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 12, 65
"/home/ysy/code/Os_wrtie/src/kernel/task.c", "C", 0, 332, 0, 0, 0, 0, 0, 0, 0, 25, 84, 441
"/home/ysy/code/Os_wrtie/src/kernel/thread.c", "C", 0, 42, 0, 0, 0, 0, 0, 0, 0, 17, 8, 67
"/home/ysy/code/Os_wrtie/src/kernel/time.c", "C", 0, 139, 0, 0, 0, 0, 0, 0, 0, 10, 27, 176
"/home/ysy/code/Os_wrtie/src/lib/bitmap.c", "C", 0, 55, 0, 0, 0, 0, 0, 0, 0, 8, 19, 82
"/home/ysy/code/Os_wrtie/src/lib/fifo.c", "C", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"/home/ysy/code/Os_wrtie/src/lib/list.c", "C", 0, 97, 0, 0, 0, 0, 0, 0, 0, 13, 23, 133
"/home/ysy/code/Os_wrtie/src/lib/printf.c", "C", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 8, 22
"/home/ysy/code/Os_wrtie/src/lib/stdlib.c", "C", 0, 45, 0, 0, 0, 0, 0, 0, 0, 6, 10, 61
"/home/ysy/code/Os_wrtie/src/lib/string.c", "C", 0, 176, 0, 0, 0, 0, 0, 0, 0, 2, 16, 194
"/home/ysy/code/Os_wrtie/src/lib/syscall.c", "C", 0, 70, 0, 0, 0, 0, 0, 0, 0, 2, 16, 88
"/home/ysy/code/Os_wrtie/src/lib/vsprintf.c", "C", 0, 285, 0, 0, 0, 0, 0, 0, 0, 81, 50, 416
"/home/ysy/code/Os_wrtie/src/utils/grub.cfg", "Properties", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"/home/ysy/code/Os_wrtie/test/call.asm", "Assembler file", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 9, 25
"/home/ysy/code/Os_wrtie/test/makefile", "Makefile", 0, 0, 14, 0, 0, 0, 0, 0, 0, 8, 4, 26
"/home/ysy/code/Os_wrtie/test/param.c", "C", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/home/ysy/code/Os_wrtie/test/param.s", "Assembler file", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 1, 31
"/home/ysy/code/Os_wrtie/test/types.c", "C", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"Total", "-", 86, 4650, 180, 614, 6, 26, 10, 69, 570, 665, 1347, 8223
